tenure instance      d   rep v           it        time    
F      p3000-2.txt   25  10  5175152     3213      47.419559 
F      p3000-2.txt   50  10  5160770     1976      28.305714 
F      p3000-2.txt   100 10  5159895     1885      27.552791 
F      p3000-2.txt   200 10  5164359     1873      23.732137 
R      p3000-2.txt   25  1   5172540     2779      34.587563
R      p3000-2.txt   50  1   5177572     2242      31.051430
R      p3000-2.txt   100 1   5173023     2328      31.360762
R      p3000-2.txt   200 1   5168922     2103      28.416190
R      p3000-2.txt   25  2   5169937     2919      40.476279
R      p3000-2.txt   50  2   5166724     1957      25.655644
R      p3000-2.txt   100 2   5161828     1932      27.026072
R      p3000-2.txt   200 2   5157465     2270      25.646984
R      p3000-2.txt   25  3   5167579     2548      34.057841
R      p3000-2.txt   50  3   5134805     1691      27.000896
R      p3000-2.txt   100 3   5139624     1992      27.945511
R      p3000-2.txt   200 3   5169511     1846      26.028751
R      p3000-2.txt   25  4   5165802     2759      37.776956
R      p3000-2.txt   50  4   5163386     1912      24.865714
R      p3000-2.txt   100 4   5172218     1950      24.513058
R      p3000-2.txt   200 4   5152454     1918      26.641103
R      p3000-2.txt   25  5   5176478     2026      29.027095
R      p3000-2.txt   50  5   5177384     2348      29.787760
R      p3000-2.txt   100 5   5160688     1889      25.316087
R      p3000-2.txt   200 5   5154978     2069      29.169229
R      p3000-2.txt   25  6   5162907     2158      26.394647
R      p3000-2.txt   50  6   5172283     2147      28.952898
R      p3000-2.txt   100 6   5177519     2178      28.901233
R      p3000-2.txt   200 6   5168348     1971      28.278417
R      p3000-2.txt   25  7   5164887     2207      32.926713
R      p3000-2.txt   50  7   5167155     2189      26.982047
R      p3000-2.txt   100 7   5126534     1639      20.452352
R      p3000-2.txt   200 7   5164466     1963      28.795057
R      p3000-2.txt   25  8   5181306     2457      28.542871
R      p3000-2.txt   50  8   5171590     2589      32.621386
R      p3000-2.txt   100 8   5155491     2026      22.204522
R      p3000-2.txt   200 8   5149466     1778      22.485643
R      p3000-2.txt   25  9   5168472     3301      40.866251
R      p3000-2.txt   50  9   5177097     1826      23.927167
R      p3000-2.txt   100 9   5156473     1951      27.057663
R      p3000-2.txt   200 9   5177599     2397      31.881069
R      p3000-2.txt   25  10  5139658     1804      25.007215
R      p3000-2.txt   50  10  5163364     2424      28.588076
R      p3000-2.txt   100 10  5138935     1704      21.548820
R      p3000-2.txt   200 10  5137160     1793      22.091612
F      p4000-1.txt   25  1   6152051     3168      56.686511 
F      p4000-1.txt   50  1   6150845     2731      54.674913 
F      p4000-1.txt   100 1   6176355     3289      58.827023 
F      p4000-1.txt   200 1   6151430     2756      54.494796 
F      p4000-1.txt   25  2   6143155     2618      49.528679 
F      p4000-1.txt   50  2   6132297     3163      59.880931 
F      p4000-1.txt   100 2   6134165     3252      64.672364 
F      p4000-1.txt   200 2   6138615     2671      51.836420 
F      p4000-1.txt   25  3   6165551     4117      75.273109 
F      p4000-1.txt   50  3   6142206     3160      64.658053 
F      p4000-1.txt   100 3   6153075     2608      51.442866 
F      p4000-1.txt   200 3   6153862     3123      57.479733 
