tenure instance      d   rep v           it        time    
F      p6000-1.txt   200 7   11294620    4350      123.409581 
F      p6000-1.txt   25  8   11327698    4668      131.526491 
F      p6000-1.txt   50  8   11314972    4381      118.739549 
F      p6000-1.txt   100 8   11314815    4056      110.893257 
F      p6000-1.txt   200 8   11295446    3676      99.851379 
F      p6000-1.txt   25  9   11340211    6738      179.891412 
F      p6000-1.txt   50  9   11304418    4408      132.474221 
F      p6000-1.txt   100 9   11343966    4760      130.068018 
F      p6000-1.txt   200 9   11301459    3607      107.396287 
F      p6000-1.txt   25  10  11347366    7164      195.108316 
F      p6000-1.txt   50  10  11293708    4034      105.758182 
F      p6000-1.txt   100 10  11317696    5664      153.599850 
F      p6000-1.txt   200 10  11293067    3773      105.939033 
R      p6000-1.txt   25  1   11317789    5161      144.115648
R      p6000-1.txt   50  1   11313633    5037      134.312173
R      p6000-1.txt   100 1   11319983    5440      141.895099
R      p6000-1.txt   200 1   11309939    4289      123.506077
R      p6000-1.txt   25  2   11297632    5211      140.235427
R      p6000-1.txt   50  2   11292543    4266      115.680155
R      p6000-1.txt   100 2   11301564    4134      112.473324
R      p6000-1.txt   200 2   11316111    5107      130.068105
R      p6000-1.txt   25  3   11325353    4608      127.858907
R      p6000-1.txt   50  3   11297792    5564      154.862196
R      p6000-1.txt   100 3   11306185    4720      126.483404
R      p6000-1.txt   200 3   11311374    4566      128.712463
R      p6000-1.txt   25  4   11330842    5678      161.904357
R      p6000-1.txt   50  4   11300052    4676      134.744239
R      p6000-1.txt   100 4   11286660    4617      121.409899
R      p6000-1.txt   200 4   11308155    3860      105.506276
R      p6000-1.txt   25  5   11272830    4122      113.545399
R      p6000-1.txt   50  5   11332739    5330      142.834062
R      p6000-1.txt   100 5   11313432    4596      118.141110
R      p6000-1.txt   200 5   11319069    3970      106.374422
R      p6000-1.txt   25  6   11332670    5963      158.558410
R      p6000-1.txt   50  6   11301490    4895      134.491303
R      p6000-1.txt   100 6   11320755    4852      119.647208
R      p6000-1.txt   200 6   11309560    4254      113.139069
R      p6000-1.txt   25  7   11319311    4897      118.463848
R      p6000-1.txt   50  7   11287161    4416      113.715595
R      p6000-1.txt   100 7   11293830    4071      98.866563
R      p6000-1.txt   200 7   11283814    4026      99.753940
R      p6000-1.txt   25  8   11330408    4247      102.159517
R      p6000-1.txt   50  8   11319715    5182      131.420924
R      p6000-1.txt   100 8   11302043    5255      128.461417
R      p6000-1.txt   200 8   11315816    3998      106.442591
R      p6000-1.txt   25  9   11314788    4468      121.330011
R      p6000-1.txt   50  9   11274218    4026      105.746441
R      p6000-1.txt   100 9   11321602    4988      127.362931
R      p6000-1.txt   200 9   11323156    4392      109.579827
R      p6000-1.txt   25  10  11340298    4884      119.601405
R      p6000-1.txt   50  10  11282226    3795      91.153960
R      p6000-1.txt   100 10  11305994    5189      106.944020
R      p6000-1.txt   200 10  11314493    3881      61.695155
F      p6000-2.txt   25  1   14229937    5308      159.147356
F      p6000-2.txt   50  1   14254479    5637      155.795833
F      p6000-2.txt   100 1   14261492    3888      115.612499
F      p6000-2.txt   200 1   14239923    3732      107.620352
F      p6000-2.txt   25  2   14254742    4935      140.671825
F      p6000-2.txt   50  2   14250788    4977      146.819497
F      p6000-2.txt   100 2   14189514    3980      120.576602
F      p6000-2.txt   200 2   14180694    3677      113.661690
F      p6000-2.txt   25  3   14282872    4731      144.558363
F      p6000-2.txt   50  3   14263442    4673      130.610263
F      p6000-2.txt   100 3   14251768    4014      117.439973
F      p6000-2.txt   200 3   14224348    4149      122.675100
F      p6000-2.txt   25  4   14227445    4767      148.609689
F      p6000-2.txt   50  4   14242698    4762      142.091800
F      p6000-2.txt   100 4   14240277    3900      107.758608
F      p6000-2.txt   200 4   14225622    3892      111.275316
F      p6000-2.txt   25  5   14255152    8037      211.753215
F      p6000-2.txt   50  5   14256869    6675      179.404063
F      p6000-2.txt   100 5   14255673    4547      124.506911
F      p6000-2.txt   200 5   14211405    3520      98.644401
F      p6000-2.txt   25  6   14245863    4460      123.481612
F      p6000-2.txt   50  6   14243473    3947      106.530362
F      p6000-2.txt   100 6   14249213    4088      109.219986
F      p6000-2.txt   200 6   14229844    3989      111.741032
F      p6000-2.txt   25  7   14223443    6551      175.850066
F      p6000-2.txt   50  7   14222018    3908      110.998540
F      p6000-2.txt   100 7   14237557    4052      115.391674
F      p6000-2.txt   200 7   14202532    3510      89.162511
F      p6000-2.txt   25  8   14235851    5273      144.007560
F      p6000-2.txt   50  8   14222990    4596      118.954777
F      p6000-2.txt   100 8   14239188    4712      137.543709
F      p6000-2.txt   200 8   14219975    3747      105.218681
F      p6000-2.txt   25  9   14226693    4497      133.627961
F      p6000-2.txt   50  9   14259871    4366      133.557582
F      p6000-2.txt   100 9   14209806    4163      121.893456
F      p6000-2.txt   200 9   14274302    4505      124.396903
F      p6000-2.txt   25  10  14244460    4543      129.312276
F      p6000-2.txt   50  10  14247360    4749      127.787303
F      p6000-2.txt   100 10  14219021    3867      113.089504
F      p6000-2.txt   200 10  14194951    3791      97.797551
R      p6000-2.txt   25  1   14249763    5448      150.219761
R      p6000-2.txt   50  1   14232210    3755      100.283718
R      p6000-2.txt   100 1   14223148    3712      97.699824
R      p6000-2.txt   200 1   14226130    4315      113.908540
R      p6000-2.txt   25  2   14252564    5005      133.335032
R      p6000-2.txt   50  2   14224377    4077      109.175938
R      p6000-2.txt   100 2   14257530    4343      125.179961
R      p6000-2.txt   200 2   14226206    3740      104.805607
R      p6000-2.txt   25  3   14258329    6507      181.195793
R      p6000-2.txt   50  3   14255422    4922      138.403938
R      p6000-2.txt   100 3   14238915    4073      116.104932
R      p6000-2.txt   200 3   14191618    3682      102.591392
R      p6000-2.txt   25  4   14251187    3791      100.716313
R      p6000-2.txt   50  4   14250809    4390      113.210562
R      p6000-2.txt   100 4   14204938    3922      99.595627
R      p6000-2.txt   200 4   14226278    3549      90.492345
R      p6000-2.txt   25  5   14245898    7061      184.141270
R      p6000-2.txt   50  5   14264077    5327      141.621391
R      p6000-2.txt   100 5   14256340    4237      111.200196
R      p6000-2.txt   200 5   14211345    3691      105.620412
R      p6000-2.txt   25  6   14241457    5181      151.342101
R      p6000-2.txt   50  6   14252295    4175      118.219207
R      p6000-2.txt   100 6   14230722    4450      115.238693
R      p6000-2.txt   200 6   14253185    3911      93.307723
R      p6000-2.txt   25  7   14259191    6257      167.474025
R      p6000-2.txt   50  7   14241471    3844      95.851349
R      p6000-2.txt   100 7   14249531    4210      102.053291
R      p6000-2.txt   200 7   14262695    4051      106.363405
R      p6000-2.txt   25  8   14254317    5243      137.104008
R      p6000-2.txt   50  8   14189747    4573      119.278310
R      p6000-2.txt   100 8   14201028    4430      107.739401
R      p6000-2.txt   200 8   14221459    3793      100.702771
R      p6000-2.txt   25  9   14278163    10245     287.807587
R      p6000-2.txt   50  9   14258841    4584      116.525915
R      p6000-2.txt   100 9   14282972    4300      104.167560
R      p6000-2.txt   200 9   14196044    3822      95.157464
R      p6000-2.txt   25  10  14249107    5344      119.738960
R      p6000-2.txt   50  10  14256929    8077      172.792809
R      p6000-2.txt   100 10  14281191    4129      74.499908
R      p6000-2.txt   200 10  14222742    4477      50.257855
F      p7000-1.txt   25  1   14399411    5455      181.369236 
F      p7000-1.txt   50  1   14410566    5052      176.776954 
F      p7000-1.txt   100 1   14397736    4751      172.582311 
F      p7000-1.txt   200 1   14404351    5328      180.650876 
F      p7000-1.txt   25  2   14394562    5458      191.566055 
F      p7000-1.txt   50  2   14381863    7157      245.606605 
F      p7000-1.txt   100 2   14402618    4861      176.199068 
F      p7000-1.txt   200 2   14380457    4364      151.941360 
F      p7000-1.txt   25  3   14376307    5603      204.536065 
F      p7000-1.txt   50  3   14392842    5543      199.635052 
F      p7000-1.txt   100 3   14416285    4630      163.225997 
F      p7000-1.txt   200 3   14345443    4207      143.539820 
F      p7000-1.txt   25  4   14391314    4639      169.991945 
F      p7000-1.txt   50  4   14418292    5553      200.554101 
F      p7000-1.txt   100 4   14386128    4448      141.189649 
F      p7000-1.txt   200 4   14412681    4545      154.170836 
F      p7000-1.txt   25  5   14430877    8275      257.446695 
F      p7000-1.txt   50  5   14406309    5474      180.694359 
F      p7000-1.txt   100 5   14360914    4682      150.223084 
F      p7000-1.txt   200 5   14377626    4301      129.761208
F      p7000-1.txt   25  6   14415054    6083      194.657691 
F      p7000-1.txt   50  6   14417232    5424      165.159286 
F      p7000-1.txt   100 6   14381543    4569      141.992409 
F      p7000-1.txt   200 6   14373171    4718      148.888175 
F      p7000-1.txt   25  7   14425496    8499      292.958906 
F      p7000-1.txt   50  7   14381961    5402      173.433305 
F      p7000-1.txt   100 7   14402963    4628      158.737197 
F      p7000-1.txt   200 7   14418524    4739      150.430859
F      p7000-1.txt   25  8   14398705    6530      213.925282 
F      p7000-1.txt   50  8   14387295    4889      162.839426 
F      p7000-1.txt   100 8   14377053    5578      182.502337 
F      p7000-1.txt   200 8   14407242    4660      150.801086 
F      p7000-1.txt   25  9   14401648    6812      224.433616 
F      p7000-1.txt   50  9   14409039    5525      189.652242 
F      p7000-1.txt   100 9   14387854    4655      158.789788 
F      p7000-1.txt   200 9   14398704    4739      154.999842 
F      p7000-1.txt   25  10  14433397    5773      199.000671 
F      p7000-1.txt   50  10  14376743    5513      172.735023 
F      p7000-1.txt   100 10  14386196    5374      172.892252 
F      p7000-1.txt   200 10  14411757    4822      153.251615
R      p7000-1.txt   25  1   14411131    5087      166.122924
R      p7000-1.txt   50  1   14405675    5705      180.132251
R      p7000-1.txt   100 1   14378013    4906      155.701596
R      p7000-1.txt   200 1   14370309    4483      146.280817
R      p7000-1.txt   25  2   14396545    6152      199.011379
R      p7000-1.txt   50  2   14411353    4942      162.441549
R      p7000-1.txt   100 2   14416880    4939      159.699967
R      p7000-1.txt   200 2   14386711    5086      167.098071
R      p7000-1.txt   25  3   14391703    5200      171.910847
R      p7000-1.txt   50  3   14355471    5462      182.066084
R      p7000-1.txt   100 3   14383587    4459      141.585540
R      p7000-1.txt   200 3   14419848    4655      154.006882
R      p7000-1.txt   25  4   14400021    5266      168.546910
R      p7000-1.txt   50  4   14434418    5942      188.536146
R      p7000-1.txt   100 4   14384305    4781      149.498513
R      p7000-1.txt   200 4   14345382    4568      140.516323
R      p7000-1.txt   25  5   14408166    6796      217.591181
R      p7000-1.txt   50  5   14405705    5010      156.864350
R      p7000-1.txt   100 5   14396306    4952      162.315506
R      p7000-1.txt   200 5   14401440    5524      183.320705
R      p7000-1.txt   25  6   14407319    4988      166.531340
R      p7000-1.txt   50  6   14437637    5455      159.163595
R      p7000-1.txt   100 6   14413839    5837      169.725831
R      p7000-1.txt   200 6   14381839    5006      155.980586
R      p7000-1.txt   25  7   14412461    6560      205.121092
R      p7000-1.txt   50  7   14390561    6351      196.143256
R      p7000-1.txt   100 7   14387770    4516      135.242504
R      p7000-1.txt   200 7   14370437    4724      139.304374
R      p7000-1.txt   25  8   14433964    5499      166.362158
R      p7000-1.txt   50  8   14390762    5102      153.232261
R      p7000-1.txt   100 8   14387696    4657      145.606363
R      p7000-1.txt   200 8   14384848    4388      124.377084
R      p7000-1.txt   25  9   14398471    6716      203.202037
R      p7000-1.txt   50  9   14402810    5279      160.498312
R      p7000-1.txt   100 9   14369358    4535      142.810547
R      p7000-1.txt   200 9   14395499    4948      123.731030
R      p7000-1.txt   25  10  14409305    10186     297.414120
R      p7000-1.txt   50  10  14426569    5624      117.540102
R      p7000-1.txt   100 10  14411396    4836      77.820666
R      p7000-1.txt   200 10  14395622    5106      50.333748
F      p7000-2.txt   25  1   18128521    5118      179.911575 
F      p7000-2.txt   50  1   18161624    4817      171.001508 
F      p7000-2.txt   100 1   18161556    5282      184.456996 
F      p7000-2.txt   200 1   18119345    5077      169.420891 
F      p7000-2.txt   25  2   18171142    4838      175.070208 
F      p7000-2.txt   50  2   18173955    5266      173.537311 
F      p7000-2.txt   100 2   18189177    4637      162.711728 
F      p7000-2.txt   200 2   18147525    4553      158.554748 
F      p7000-2.txt   25  3   18157361    5061      181.101400 
F      p7000-2.txt   50  3   18186236    6082      205.935982 
F      p7000-2.txt   100 3   18138273    4857      172.582506 
F      p7000-2.txt   200 3   18168149    5399      183.983891 
F      p7000-2.txt   25  4   18176227    6166      231.289972 
F      p7000-2.txt   50  4   18137755    5166      171.391232 
F      p7000-2.txt   100 4   18157482    4648      157.115526 
F      p7000-2.txt   200 4   18051043    4121      138.401176 
F      p7000-2.txt   25  5   18193680    6275      189.401709 
F      p7000-2.txt   50  5   18105968    4321      147.451108 
F      p7000-2.txt   100 5   18173462    5657      172.123476 
F      p7000-2.txt   200 5   18139154    4329      140.119721
F      p7000-2.txt   25  6   18165491    6908      216.981395 
F      p7000-2.txt   50  6   18145557    5303      169.397288 
F      p7000-2.txt   100 6   18118792    4531      144.043704 
F      p7000-2.txt   200 6   18151704    4690      148.518389 
F      p7000-2.txt   25  7   18169522    5185      173.108135 
F      p7000-2.txt   50  7   18113873    5161      176.403853 
F      p7000-2.txt   100 7   18169129    4551      145.601953 
F      p7000-2.txt   200 7   18157764    4796      143.121843
F      p7000-2.txt   25  8   18148038    7195      232.434698 
F      p7000-2.txt   50  8   18161632    6258      208.947993 
F      p7000-2.txt   100 8   18125404    4853      150.300052 
F      p7000-2.txt   200 8   18107285    4469      135.201957 
F      p7000-2.txt   25  9   18169935    6700      229.353551 
F      p7000-2.txt   50  9   18142419    5357      183.278713 
F      p7000-2.txt   100 9   18151531    5460      189.790427 
F      p7000-2.txt   200 9   18114121    4661      153.473238 
F      p7000-2.txt   25  10  18180943    7581      266.858810 
F      p7000-2.txt   50  10  18187126    6498      217.553854 
F      p7000-2.txt   100 10  18169228    4884      158.622519 
F      p7000-2.txt   200 10  18162430    4868      149.362654
R      p7000-2.txt   25  1   18167468    5406      176.668568
R      p7000-2.txt   50  1   18120775    5098      166.356838
R      p7000-2.txt   100 1   18162909    5367      168.530026
R      p7000-2.txt   200 1   18152941    5049      156.164499
R      p7000-2.txt   25  2   18155237    5370      176.633124
R      p7000-2.txt   50  2   18142186    4277      142.032459
R      p7000-2.txt   100 2   18152713    5554      184.741327
R      p7000-2.txt   200 2   18147787    5129      168.009932
R      p7000-2.txt   25  3   18147650    4886      160.956717
R      p7000-2.txt   50  3   18159763    5138      159.934017
R      p7000-2.txt   100 3   18144368    5088      173.299469
R      p7000-2.txt   200 3   18145455    4819      156.882562
R      p7000-2.txt   25  4   18143665    5431      178.582078
R      p7000-2.txt   50  4   18159292    4725      150.024697
R      p7000-2.txt   100 4   18136672    4801      151.741667
R      p7000-2.txt   200 4   18153465    4979      152.064368
R      p7000-2.txt   25  5   18162636    7633      237.273536
R      p7000-2.txt   50  5   18168692    4803      159.798047
R      p7000-2.txt   100 5   18158819    5729      192.796751
R      p7000-2.txt   200 5   18104723    4228      141.492207
R      p7000-2.txt   25  6   18185763    5307      158.028430
R      p7000-2.txt   50  6   18160278    5745      168.375151
R      p7000-2.txt   100 6   18124440    5269      153.601712
R      p7000-2.txt   200 6   18122426    4236      121.106166
R      p7000-2.txt   25  7   18121591    8430      251.868555
R      p7000-2.txt   50  7   18112082    5039      155.101893
R      p7000-2.txt   100 7   18131509    5096      158.578288
R      p7000-2.txt   200 7   18198986    5284      156.388360
R      p7000-2.txt   25  8   18164355    5317      164.543234
R      p7000-2.txt   50  8   18126013    4840      136.505581
R      p7000-2.txt   100 8   18156670    5099      144.440991
R      p7000-2.txt   200 8   18152391    4722      140.129084
R      p7000-2.txt   25  9   18188561    6994      220.274842
R      p7000-2.txt   50  9   18134355    4608      138.733376
R      p7000-2.txt   100 9   18138080    4938      147.307478
R      p7000-2.txt   200 9   18127291    4660      127.331159
R      p7000-2.txt   25  10  18119565    4989      117.318791
R      p7000-2.txt   50  10  18143407    4654      94.375078
R      p7000-2.txt   100 10  18072633    4187      47.272878
R      p7000-2.txt   200 10  18133006    4390      42.240053
