instance      b1  b2  rep value     t       it        
bqp50-1       18  2   7   -1209     300.01  3289194   
bqp50-1       18  2   8   -1570     300.02  4554512   
bqp50-1       18  2   9   -1397     300.03  4146556   
bqp50-1       18  2   10  -1944     300.01  1603764   
bqp50-1       18  2   11  -1859     300.00  868112    
bqp50-1       18  2   12  -1633     300.02  3273028   
bqp50-1       18  2   13  -1638     300.01  2662486   
bqp50-1       18  2   14  -1525     300.01  4148174   
bqp50-1       18  2   15  -1786     300.00  3489446
bqp100-1      2   18  1   -7790     6.21    66782     
bqp100-1      2   18  2   -7380     8.65    93280     
bqp100-1      2   18  3   -7898     7.42    80372     
bqp100-1      2   18  4   -7224     5.73    61420     
bqp100-1      2   18  5   -7538     5.64    59200     
bqp100-1      2   18  6   -7898     11.24   121224    
bqp100-1      2   18  7   -7217     7.52    77022     
bqp100-1      2   18  8   -7826     6.72    71606     
bqp100-1      2   18  9   -7203     7.62    73946     
bqp100-1      2   18  10  -7568     6.59    69130     
bqp100-1      2   18  11  -7564     7.26    72964     
bqp100-1      2   18  12  -7592     7.65    80192     
bqp100-1      2   18  13  -7762     8.07    77370     
bqp100-1      2   18  14  -7435     8.58    88784     
bqp100-1      2   18  15  -7666     6.23    64396     
bqp100-1      4   16  1   -7928     10.81   103516    
bqp100-1      4   16  2   -7822     14.62   143838    
bqp100-1      4   16  3   -7888     13.06   121418    
bqp100-1      4   16  4   -7900     14.12   130350    
bqp100-1      4   16  5   -7752     15.00   133430    
bqp100-1      4   16  6   -7970     14.20   114882    
bqp100-1      4   16  7   -7770     12.40   119686    
bqp100-1      4   16  8   -7694     9.30    91038     
bqp100-1      4   16  9   -7904     13.40   125626    
bqp100-1      4   16  10  -7830     13.51   131374    
bqp100-1      4   16  11  -7832     11.07   105744    
bqp100-1      4   16  12  -7868     12.25   115416    
bqp100-1      4   16  13  -7608     10.97   102378    
bqp100-1      4   16  14  -7732     14.74   142996    
bqp100-1      6   14  1   -7822     18.92   175876    
bqp100-1      6   14  2   -7706     14.01   126604    
bqp100-1      6   14  3   -7822     15.18   139968    
bqp100-1      6   14  4   -7704     15.95   151724    
bqp100-1      6   14  5   -7762     18.81   174414    
bqp100-1      6   14  6   -7722     14.80   135772    
bqp100-1      6   14  7   -7840     16.41   150236    
bqp100-1      6   14  8   -7664     12.26   113188    
bqp100-1      6   14  9   -7840     12.63   116212    
bqp100-1      6   14  10  -7970     17.58   166666    
bqp100-1      6   14  11  -7598     14.31   134430    
bqp100-1      6   14  12  -7840     24.82   236416    
bqp100-1      6   14  13  -7884     15.59   147880    
bqp100-1      6   14  14  -7890     15.45   143116    
bqp100-1      6   14  15  -7786     18.41   175522    
bqp100-1      8   12  1   -7840     19.52   179616    
bqp100-1      8   12  2   -7728     16.80   149916    
bqp100-1      8   12  3   -7970     20.15   160544    
bqp100-1      8   12  4   -7820     22.59   171698    
bqp100-1      8   12  5   -7840     22.72   180148    
bqp100-1      8   12  6   -7826     21.96   181242    
bqp100-1      8   12  7   -7689     19.41   178000    
